Q,A
뭔데?,왜 내가 내 일의 샘플을 어떤 멍청한 위원회에 제출해야 하지? 그냥 열여섯 살짜리 소녀를 가르치기 위해서였다.
왜 내가 내 일의 샘플을 어떤 멍청한 위원회에 제출해야 하지? 그냥 열여섯 살짜리 소녀를 가르치기 위해서였다.,폐하께서 바라시기 때문이다.
폐하께서 바라시기 때문이다.,황제가 나한테 화났나?
황제가 나한테 화났나?,반대로.
반대로.,그럼 왜 그냥 나를 그 자리에 임명하지 않는 거지?
그럼 왜 그냥 나를 그 자리에 임명하지 않는 거지?,"모차르트, 비엔나에서 너만이 작곡가가 아니다."
"모차르트, 비엔나에서 너만이 작곡가가 아니다.","아니, 하지만 내가 최고야."
"아니, 하지만 내가 최고야.",약간의 겸손함이 너에게 더 잘 어울릴 것이다.
약간의 겸손함이 너에게 더 잘 어울릴 것이다.,이 위원회에는 누가 있는가?
이 위원회에는 누가 있는가?,"카펠마이스터 본노, 오르시니-로젠베르크 백작, 살리에리 궁정 작곡가."
"카펠마이스터 본노, 오르시니-로젠베르크 백작, 살리에리 궁정 작곡가.",당연히 이탈리아 사람들이지! 물론이지! 항상 이탈리아 사람들이지!
당연히 이탈리아 사람들이지! 물론이지! 항상 이탈리아 사람들이지!,모차르트 -
모차르트 -,"그들은 내 음악을 싫어해. 그것은 그들을 두렵게 한다. 이탈리아인들이 이해하는 유일한 소리는 평범함이다. 강장제와 지배자, 강장제와 지배자, 여기서 부활까지! 바바! 바바! 바바! 그 밖에 다른 것은 병적이다."
"그들은 내 음악을 싫어해. 그것은 그들을 두렵게 한다. 이탈리아인들이 이해하는 유일한 소리는 평범함이다. 강장제와 지배자, 강장제와 지배자, 여기서 부활까지! 바바! 바바! 바바! 그 밖에 다른 것은 병적이다.",모차르트 -
모차르트 -,흥미로운 변조를 보여주면 기절할 거야 오히메! 모르비데자! 모르비데자! 이탈리아 사람들은 음악적인 바보들이고 너는 그들이 내 음악을 판단하길 원해!
흥미로운 변조를 보여주면 기절할 거야 오히메! 모르비데자! 모르비데자! 이탈리아 사람들은 음악적인 바보들이고 너는 그들이 내 음악을 판단하길 원해!,"이봐, 젊은이, 문제는 간단해. 만약 당신이 이 게시물을 원한다면, 당신은 당신의 모든 동료들과 같은 방식으로 당신의 물건을 제출해야 한다."
"이봐, 젊은이, 문제는 간단해. 만약 당신이 이 게시물을 원한다면, 당신은 당신의 모든 동료들과 같은 방식으로 당신의 물건을 제출해야 한다.","그래야만 해? 글쎄, 안 그럴 거야! 솔직히 말한다. 안 그럴 거야!"
모차르트-모차르트,"제가 그렇게 해도 되겠습니까, 폐하? 어떻게 시작하는지 보여줘? 그것만?"
"사실 결정된 건 아닌 것 같습니다, 국장님.","오, 독일어! 독일어! 제발 독일어로 해 줘."
"얘야, 드디어 언어가 요점이 아니다. 너는 정말로 그 주제가 국립극장에 적합하다고 생각하니?","왜 안 되지? 매력적이다. 내 말은, 난 후궁들이 노출되는 걸 보여주지 않아! 외설스럽지 않아! 매우 도덕적이에요, 폐하. 그것은 적절한 독일식 덕목들로 가득 차 있다. 맹세해. 당연하지!"
"잘했어, 모차르트. 정말 괜찮다.",남작!
모차르트 -,"시어, 오페라만이 이것을 할 수 있다. 연극에서, 한 사람 이상이 동시에 말한다면 그것은 단지 소음일 뿐이다. 아무도 한 마디도 알아듣지 못한다. 하지만 음악, 음악으로 당신은 20명의 모든 사람들이 동시에 말할 수 있고, 그것은 소음이 아니라 완벽한 조화를 이룬다. 신기하지 않니?"
"시어, 오페라만이 이것을 할 수 있다. 연극에서, 한 사람 이상이 동시에 말한다면 그것은 단지 소음일 뿐이다. 아무도 한 마디도 알아듣지 못한다. 하지만 음악, 음악으로 당신은 20명의 모든 사람들이 동시에 말할 수 있고, 그것은 소음이 아니라 완벽한 조화를 이룬다. 신기하지 않니?","모차르트, 음악은 여기서 문제가 아니다. 아무도 너의 재능을 의심하지 않는다. 문제가 되는 것은 문학에 대한 당신의 판단이다. 정치가 없어져도 이 일은 여전히 저속한 익살로 남을 것이다. 왜 그런 쓰레기에 정신을 낭비하는가? 확실히 당신은 더 높은 주제를 선택할 수 있는가?"
"모차르트, 음악은 여기서 문제가 아니다. 아무도 너의 재능을 의심하지 않는다. 문제가 되는 것은 문학에 대한 당신의 판단이다. 정치가 없어져도 이 일은 여전히 저속한 익살로 남을 것이다. 왜 그런 쓰레기에 정신을 낭비하는가? 확실히 당신은 더 높은 주제를 선택할 수 있는가?","상승? 그게 무슨 뜻이야? 상승! 남자가 높여야 할 유일한 것은 - 아, 실례합니다만. 미안하다. 난 멍청하다. 하지만 나는 높은 것에 질렸어! 죽은 옛 전설들! 어떻게 하면 신과 전설에 대해 영원히 쓸 수 있을까?"
"상승? 그게 무슨 뜻이야? 상승! 남자가 높여야 할 유일한 것은 - 아, 실례합니다만. 미안하다. 난 멍청하다. 하지만 나는 높은 것에 질렸어! 죽은 옛 전설들! 어떻게 하면 신과 전설에 대해 영원히 쓸 수 있을까?","그들은 그렇게 하기 때문이다. 그들은 영원히 계속된다 - 적어도 그들이 대표하는 것은. 우리 안의 영원한 존재, 덧없는 존재가 아니라. 오페라는 우리에게 영감을 준다. 당신과 나, 폐하만큼이나."
원하는 게 뭐야?,나는 보글러 신부다. 나는 여기서 채플레인이다. 난 네가 누군가와 얘기하고 싶어할 거라고 생각했어.
나는 보글러 신부다. 나는 여기서 채플레인이다. 난 네가 누군가와 얘기하고 싶어할 거라고 생각했어.,뭐에 대해서?
뭐에 대해서?,넌 네 목숨을 빼앗으려 했어 기억하지?
넌 네 목숨을 빼앗으려 했어 기억하지?,그래서?
그래서?,신이 보기에 그것은 죄악이다.
신이 보기에 그것은 죄악이다.,원하는 게 뭐야?
원하는 게 뭐야?,네가 죄를 지었다는 것을 이해하니? 진지하다.
네가 죄를 지었다는 것을 이해하니? 진지하다.,날 좀 내버려 둬.
날 좀 내버려 둬.,나는 고통 속에 한 영혼도 혼자 둘 수 없다.
나는 고통 속에 한 영혼도 혼자 둘 수 없다.,내가 누군지 알아? 내 얘기 들어 본 적 없지?
내가 누군지 알아? 내 얘기 들어 본 적 없지?,그것은 아무런 차이가 없다. 하느님의 눈에는 모든 사람이 평등하다.
그것은 아무런 차이가 없다. 하느님의 눈에는 모든 사람이 평등하다.,그래?
그래?,고해성사를 해줘. 하느님의 용서를 빌 수 있어
고해성사를 해줘. 하느님의 용서를 빌 수 있어,나는 용서를 구하지 않는다.
나는 용서를 구하지 않는다.,"내 아들아, 네 영혼에 뭔가 끔찍한 것이 있다. 나에게 부담을 덜어줘. 난 오직 너만을 위해 여기 있어. 제발 얘기 좀 해봐."
"내 아들아, 네 영혼에 뭔가 끔찍한 것이 있다. 나에게 부담을 덜어줘. 난 오직 너만을 위해 여기 있어. 제발 얘기 좀 해봐.",너는 음악 교육을 얼마나 잘 받았니?
너는 음악 교육을 얼마나 잘 받았니?,난 조금 안다. 나는 젊었을 때 그것을 공부했다.
난 조금 안다. 나는 젊었을 때 그것을 공부했다.,어디?
어디?,여기 비엔나에서.
여기 비엔나에서.,그럼 이걸 아셔야죠.
그렇다고는 말할 수 없다. 뭔데?,네가 모르는 게 놀랍다. 그것은 그 시대에 매우 인기 있는 곡이었다. 나는 적었다. 이건 어때?
뭐?,나는 그것이 너무 익숙하지 않아서 유감이다.
나는 그것이 너무 익숙하지 않아서 유감이다.,내 멜로디가 생각나지 않니? 네가 어렸을 때 나는 유럽에서 가장 유명한 작곡가였어. 나는 혼자서 40개의 오페라를 썼다. 이 작은 건 어때?
"오, 나도 알아! 매력적이야! 네가 그걸 쓴 줄 몰랐어.",안 그랬어. 모차르트였습니다. 볼프강 아마데우스 모차르트. 누군지 알아?
안 그랬어. 모차르트였습니다. 볼프강 아마데우스 모차르트. 누군지 알아?,물론이지 네가 죽인다고 자책하는 그 남자 말이야
물론이지 네가 죽인다고 자책하는 그 남자 말이야,아 - 들어본 적 있어?
아 - 들어본 적 있어?,모든 비엔나는 그것을 들었다.
모든 비엔나는 그것을 들었다.,그리고 그들은 그것을 믿는가?
그리고 그들은 그것을 믿는가?,정말이야?
정말이야?,믿으십니까?
믿으십니까?,그럴까?
내 말 들려?,"그는 살해당했습니다, 아버지! 모차르트! 잔인하게 살해되었다."
"이해할 수 없는 일이었다. 신은 무엇을 꾸미고 있었는가? 여기서 나는 하나님의 선물을 받기 위해 나의 모든 자연적인 욕망을 부정하고 있었고, 모짜르트가 결혼을 약속했음에도 불구하고 그의 모든 방면에 탐닉하고 있었다. 그리고 비난은 전혀 없었다! 내가 테스트를 받고 있는 것이 가능할까? 하나님은 내가 아무리 고통스럽더라도 모든 죄 앞에서 용서를 하기를 기대하셨던 것일까? 그것은 매우 가능했다. 다 똑같아, 왜 그 사람이지? 왜 모차르트를 사용해서 겸손함을 가르쳐주나? 내 가슴은 저 작은 사내에 대한 그런 증오심으로 가득 차 있었다. 나는 태어나서 처음으로 정말 폭력적인 생각을 알기 시작했다. 나는 그들을 막을 수 없었다.",해보셨어요?
해보셨어요?,매일. 때때로 나는 몇 시간 동안 기도를 하곤 했다!
"네, 아버지. 그래! 내가 정절을 맹세하다니. 그게 무슨 상관이야? 착하고, 참을성 있고, 근면하고, 정숙하고 - 그게 무슨 상관이야? 내가 훌륭한 작곡가가 된 것은 다행이었을까? 나는 그때 그것을 확실히 깨달았다. 그 순간: 예술의 용광로에서는 선함이 아무것도 아니다. 그리고 나는 신에게 아무것도 아니었다.",그렇게 말하면 안 돼!
그렇게 말하면 안 돼!,아니? 모차르트는 좋은 사람이었니?
아니? 모차르트는 좋은 사람이었니?,신의 길은 네 것이 아니다. 그리고 넌 그를 심문하러 온게 아니야. 그에게 참회의 염을 바치다. 그는 당신에게 영원한 생명의 빵을 돌려줄 것이다. 그는 모두 자비롭다. 그게 네가 알아야 할 전부야.
신의 길은 네 것이 아니다. 그리고 넌 그를 심문하러 온게 아니야. 그에게 참회의 염을 바치다. 그는 당신에게 영원한 생명의 빵을 돌려줄 것이다. 그는 모두 자비롭다. 그게 네가 알아야 할 전부야.,"내가 원했던 건 그에게 노래하는 거였어 그건 그가 하는 짓이지, 그렇지? 그는 나에게 그리움을 주었고 - 그리고 나서 나를 벙어리로 만들었다. 왜? 말해봐. 그가 내가 그에게 음악으로 봉사하는 것을 원하지 않았다면, 왜 욕망을 내 몸에 정욕처럼 심어준 다음 나에게 그 재능을 부정하는 것일까? 어서, 말해! 그를 위해 말하라!"
"내가 원했던 건 그에게 노래하는 거였어 그건 그가 하는 짓이지, 그렇지? 그는 나에게 그리움을 주었고 - 그리고 나서 나를 벙어리로 만들었다. 왜? 말해봐. 그가 내가 그에게 음악으로 봉사하는 것을 원하지 않았다면, 왜 욕망을 내 몸에 정욕처럼 심어준 다음 나에게 그 재능을 부정하는 것일까? 어서, 말해! 그를 위해 말하라!","내 아들아, 아무도 신을 대변하지 못한다."
"내 아들아, 아무도 신을 대변하지 못한다.",그래? 난 네가 매일 그렇게 한다고 생각했어. 그러니 지금 말해라. 대답하라!
그래? 난 네가 매일 그렇게 한다고 생각했어. 그러니 지금 말해라. 대답하라!,나는 미스터리를 풀라고 주장하지 않는다. 나는 그들을 소중히 여긴다. 그래야 할 만큼.
나는 미스터리를 풀라고 주장하지 않는다. 나는 그들을 소중히 여긴다. 그래야 할 만큼.,"오, 그래, 그래, 그래, 그래! 항상 케케묵은 대답이야! 자비의 신은 없습니다, 아버지. 고문의 신일 뿐이지"
뭐?,"그의 장례식을 상상해 봐! 성당, 모든 비엔나가 거기 앉아있어. 그의 관, 모차르트의 작은 관 가운데. 그리고 갑자기 그 침묵 속에서, 음악. 신성한 음악이 그들 모두에게 터져 나오고, 위대한 죽음의 미사: 그의 헌신적인 친구 안토니오 살리에리가 작곡한 볼프강 모차르트를 위한 레퀴엠 미사. 얼마나 승승장구한가! 얼마나 깊은가! 음악에 무슨 열정이 있는가! 살리에리는 마침내 하느님께 감동을 받았다. 그리고 하느님은 억지로 귀를 기울이셨습니다. 무력하다. 그것을 막을 힘도 없다. 난 마지막에, 그를 비웃었다. 이해하겠어? 그래?"
"그의 장례식을 상상해 봐! 성당, 모든 비엔나가 거기 앉아있어. 그의 관, 모차르트의 작은 관 가운데. 그리고 갑자기 그 침묵 속에서, 음악. 신성한 음악이 그들 모두에게 터져 나오고, 위대한 죽음의 미사: 그의 헌신적인 친구 안토니오 살리에리가 작곡한 볼프강 모차르트를 위한 레퀴엠 미사. 얼마나 승승장구한가! 얼마나 깊은가! 음악에 무슨 열정이 있는가! 살리에리는 마침내 하느님께 감동을 받았다. 그리고 하느님은 억지로 귀를 기울이셨습니다. 무력하다. 그것을 막을 힘도 없다. 난 마지막에, 그를 비웃었다. 이해하겠어? 그래?",네
네,내가 걱정했던 건 실제 살인이었어 어떻게 그럴 수 있지? 어떻게 사람을 죽일 수 있지? 꿈 꾸는 것도 한 가지다. 자기 손으로 해야 할 때는 아주 다르다.
왜? 왜? 왜? 왜 살인을 자백함으로써 고통을 가중시키는가? 넌 그를 죽이지 않았어.,그랬어.
그랬어.,"아니, 안 그랬어!"
"아니, 안 그랬어!",내가 그의 목숨을 독살했다.
내가 그의 목숨을 독살했다.,하지만 그의 몸은 아니다.
하지만 그의 몸은 아니다.,그게 무슨 차이가 있지?
그게 무슨 차이가 있지?,"내 아들아, 왜 비엔나 사람들이 널 살인자로 믿길 바라니? 그게 네 속죄야? 그런가요?"
"내 아들아, 왜 비엔나 사람들이 널 살인자로 믿길 바라니? 그게 네 속죄야? 그런가요?","아닙니다, 아버지. 이제부터 아무도 내 생각 없이 모차르트를 말할 수 없을 것이다. 사랑으로 모차르트를 말할 때마다 그들은 혐오감을 가지고 살리에리를 말해야 할 것이다. 그리고 그것이 나의 불멸이다 - 마침내! 우리의 이름은 영원히 함께 묶여질 것이다. - 그의 명성과 나의 불명예. 적어도 그가 나를 위해 계획했던 그 모든 망각보다는 낫지, 네 자비로운 하나님!"
"아닙니다, 아버지. 이제부터 아무도 내 생각 없이 모차르트를 말할 수 없을 것이다. 사랑으로 모차르트를 말할 때마다 그들은 혐오감을 가지고 살리에리를 말해야 할 것이다. 그리고 그것이 나의 불멸이다 - 마침내! 우리의 이름은 영원히 함께 묶여질 것이다. - 그의 명성과 나의 불명예. 적어도 그가 나를 위해 계획했던 그 모든 망각보다는 낫지, 네 자비로운 하나님!","오, 내 아들아, 내 불쌍한 아들아!"
"오, 내 아들아, 내 불쌍한 아들아!","나를 불쌍히 여기지 마라. 자신을 불쌍히 여겨라. 넌 사악한 신을 섬기는구나. 그는 모차르트를 죽였어. 내가 아니라. 가엾게 여기지 않고 납치해갔지 그는 나 같은 평범한 사람이 그의 영광에서 가장 작은 몫을 차지하도록 내버려두기보다는 사랑하는 사람을 파멸시켰다. 그는 신경 쓰지 않는다. 이해해라. 하나님은 부정하는 자에게는 아무 관심도 없고, 사용하는 자에게도 아무 관심도 없다. 그는 모차르트를 그와 함께 끝냈을 때 반으로 쪼개 버리고 말았다. 낡고 닳은 피리처럼."
"자네가 관심을 가질 만한 걸 방금 배웠어, 허 감독관",네?
네?,모차르트는 새로운 오페라를 쓰고 있다. 이탈리아 오페라.
모차르트는 새로운 오페라를 쓰고 있다. 이탈리아 오페라.,이탈리아어?
그 연극 말하는 거야?,바로 그거야
바로 그거야,그가 그 연극을 음악에 맞추려고?
그가 그 연극을 음악에 맞추려고?,네
네,화났나 봐.
정말 확신해?,원고를 본 적이 있다.
원고를 본 적이 있다.,어디?
어디?,신경 쓰지 마
모차르트는 이미 리허설을 하고 있다.,믿을 수 없다.
믿을 수 없다.,황제가 그에게 허락을 내렸다.
무슨 분노?,발레에 대해서.
발레에 대해서.,발레? 무슨 발레?
발레? 무슨 발레?,"실례합니다만, 폐하께서 오페라에서 특별히 발레를 금지하지 않으셨나요?"
"실례합니다만, 폐하께서 오페라에서 특별히 발레를 금지하지 않으셨나요?","네, 물론이지요. 피가로에 발레가 있니?"
"네, 물론이지요. 피가로에 발레가 있니?","네, 3막에서."
"브라보, 폐하!","잘 하셨습니다, 폐하!"
"음, 사실, 씨, 기억나신다면, 우리는 마침내 이탈리아어로 기울어졌다.",그랬어?
"우리가 이 연극을 금지한 건 알지만, 솔직히 이유는 기억이 안 나. 제 기억을 되살려 주시겠습니까, 허 감독님?","같은 이유로, Herr Chamberlain, 그것은 프랑스에서 금지되었다."
"같은 이유로, Herr Chamberlain, 그것은 프랑스에서 금지되었다.","오, 그래, 그래. 그게 다야?"
"오, 그래, 그래. 그게 다야?","그 연극은 발레로 영웅을 만든다. 그는 그의 고귀한 주인을 능가하여 그를 레처라고 폭로한다. 함축된 의미를 알겠나? 이것은, 더 웅장한 상황에서, 마치 체임벌린이 황제를 폭로하는 것처럼 될 것이다."
"그 연극은 발레로 영웅을 만든다. 그는 그의 고귀한 주인을 능가하여 그를 레처라고 폭로한다. 함축된 의미를 알겠나? 이것은, 더 웅장한 상황에서, 마치 체임벌린이 황제를 폭로하는 것처럼 될 것이다.",아.
"여기 있습니다, 나의 천사님.",뭐? 넌 대체 누구야?
뭐? 넌 대체 누구야?,"난 당신을 불쌍히 여겼소, 나의 천사여. 나는 너의 소원을 들었다."
"난 당신을 불쌍히 여겼소, 나의 천사여. 나는 너의 소원을 들었다.","오, 고마워! 정말 멋지다. 어떤 사람들은 모든 행운을 얻는다."
이제 나에게 충실하게 약속해줘. 너는 나에게 영원히 진실하게 남아있을거야. 그러면 너의 작은 버디가 얼마나 부드럽게 너를 사랑할지 알게 될 거야.,기다릴 수가 없어.
기다릴 수가 없어.,그럼 약속해.
그럼 약속해.,지금이라니 무슨 말이야?
지금이라니 무슨 말이야?,"물론 지금은. 당장, 더 늙기 전에."
"글쎄, 나도 몰라! 내 말은 넌 맛있고, 즐겁고, 맛있는 작은 새라는 뜻이야. 하지만 네가 좀 터프할 수도 있지 않을까?","오, 난 너한테 충분히 상냥해, 내 아들아. 나는 너에게 충분히 상냥하다."
이건 창피한 일이야. 네가 모차르트를 내 친구들에게 소개시켜줬는데 모차르트는 거의 모든 친구들에게서 구걸을 하고 있어. 중단돼야 합니다.,"나도 동의해, 남작"
"나도 동의해, 남작",그에게 일을 의뢰할 만한 사람이 생각나지 않니? 나는 최선을 다했다. 나는 그에게 나의 일요일 콘서트를 위해 바흐를 준비하라고 시켰다. 그는 내가 감당할 수 있는 만큼의 수수료를 받았다. 그를 위해 뭔가를 해줄 사람이 생각나지 않니?
그에게 일을 의뢰할 만한 사람이 생각나지 않니? 나는 최선을 다했다. 나는 그에게 나의 일요일 콘서트를 위해 바흐를 준비하라고 시켰다. 그는 내가 감당할 수 있는 만큼의 수수료를 받았다. 그를 위해 뭔가를 해줄 사람이 생각나지 않니?,"아니, 남작, 아니. 모차르트는 명분을 잃은 것 같다. 그는 사실상 비엔나 전체를 소외시키는 데 성공했다. 그는 끊임없이 술에 취해 있다. 그는 결코 빚을 갚지 않는다. 감히 그에게 추천할 만한 사람은 한 사람도 떠오르지 않는다."
"아니, 남작, 아니. 모차르트는 명분을 잃은 것 같다. 그는 사실상 비엔나 전체를 소외시키는 데 성공했다. 그는 끊임없이 술에 취해 있다. 그는 결코 빚을 갚지 않는다. 감히 그에게 추천할 만한 사람은 한 사람도 떠오르지 않는다.","슬프다. 비극적이지, 안 그래? 그런 재주."
"슬프다. 비극적이지, 안 그래? 그런 재주.",그래. 잠깐만. 사실 나는 그에게 작품을 의뢰할 수 있는 사람을 알고 있다고 생각해. 그렇게 하기에 아주 적절한 사람. 네
"실례합니다만, 당신과 이야기하기를 고집하는 여자가 있습니다, 선생님.",그녀는 누구니?
그녀는 누구니?,그녀는 말하지 않았다. 하지만 그녀는 그것이 긴급하다고 말한다.
그녀는 말하지 않았다. 하지만 그녀는 그것이 긴급하다고 말한다.,"실례합니다, 여보."
"저 아가씨가 돌아왔어요, 선생님.",그녀를 안으로 안내하다. 그럼 자러 가.
뭘 원하는 거지?,"그는 말하지 않았습니다, 선생님. 네가 언제 돌아올지 모른다고 말했지만, 그는 계속 기다리겠다고 우겼다."
"그는 말하지 않았습니다, 선생님. 네가 언제 돌아올지 모른다고 말했지만, 그는 계속 기다리겠다고 우겼다.",나랑 같이 가자. 그리고 방에 있어.
헤르 살리에리.,"응, 난 그를 돌보고 있어."
"응, 난 그를 돌보고 있어.",들어가도 돼?
들어가도 돼?,"음, 그는 지금 자고 있어. 그러지 않는 것이 좋다."
"음, 그는 지금 자고 있어. 그러지 않는 것이 좋다.",하지만 그는 괜찮니?
하지만 그는 괜찮니?,"아네 그는 그냥 지쳤을 뿐이다. 그는 어지러워졌어, 그게 다야. 그를 쉬게 해야 해."
"아네 그는 그냥 지쳤을 뿐이다. 그는 어지러워졌어, 그게 다야. 그를 쉬게 해야 해.","우리가 여기 있었다고 전해주렴, 안 그래?"
"우리가 여기 있었다고 전해주렴, 안 그래?",물론이지
물론이지,그리고 모든 것이 훌륭하게 진행되었다고 말한다. 승승장구 - 그렇게 말해라! 청중들이 그의 이름을 백 번 외쳤다고 전해라.
그리고 모든 것이 훌륭하게 진행되었다고 말한다. 승승장구 - 그렇게 말해라! 청중들이 그의 이름을 백 번 외쳤다고 전해라.,베네
베네,내일 전화할게.
내일 전화할게.,"그래, 그리고 너희 모두에게 축하해 정말 훌륭했다."
"아 참, 이거 줘봐. 이것은 그의 몫이다. 그게 그의 기운을 북돋아 줄 거야, 응?","네, 정말이요. 여러분 모두 안녕히 주무십시오. 그것은 완벽했다-진짜!"
21세 환자는 아직 쟁반을 못 받았나?,"미국인이요? 네, 오리."
"미국인이요? 네, 오리.",어떻게 생겼어?
어떻게 생겼어?,그가 어떻게 생겼다는 게 무슨 말이야?
그가 어떻게 생겼다는 게 무슨 말이야?,우울해 보였나? 그가 그 음식을 먹을 것 같니?
우울해 보였나? 그가 그 음식을 먹을 것 같니?,"난 질서정연해, 피를 흘리는 정신과 의사가 아니야! 나는 일을 이리저리 밀지만, 그들에게 무슨 일이 일어나는지 거의 말하지 않는다."
"난 질서정연해, 피를 흘리는 정신과 의사가 아니야! 나는 일을 이리저리 밀지만, 그들에게 무슨 일이 일어나는지 거의 말하지 않는다.",고마워
"허쉬 박사님, 케슬러 씨가 조금 전에 부르짖었다.","갤러거 양, 분명 여기 병원에서 어떤 기능을 수행해야 할 겁니다."
"좀 도와주시겠습니까, 프라이스 양?",허쉬 박사님?
허쉬 박사님?,임무를 수행하다.
임무를 수행하다.,"네, 닥터."
"오, 미스 프라이스?","네, 닥터?"
"네, 닥터?",정확히 뭘 외쳤지?
정확히 뭘 외쳤지?,그는 '잭'이라고 말했다.
그는 '잭'이라고 말했다.,잭 굿맨이 살해된 소년일 거야
잭 굿맨이 살해된 소년일 거야,그들에게 무슨 일이 일어났을까?
그들에게 무슨 일이 일어났을까?,"경찰 보고서에 따르면 탈출한 미치광이 한 명이 그들을 공격했다고 한다. 그는 틀림없이 매우 힘있는 사람이었을 것이다. 비록 그게 당신의 관심사라고는 생각하지 않지만, 미스 프라이스."
"경찰 보고서에 따르면 탈출한 미치광이 한 명이 그들을 공격했다고 한다. 그는 틀림없이 매우 힘있는 사람이었을 것이다. 비록 그게 당신의 관심사라고는 생각하지 않지만, 미스 프라이스.","아니, 그렇지 않습니다. 손님, 물론입니다. 좋은 하루입니다, 닥터."
늑대라고 했어?,"그래, 그랬을 거야"
"괜찮아, 수잔. 그래, 닥터, 내가 그랬어.","제 사무실로 오십시오, 프라이스 양."
"오, 이런, 너의 과외활동은 나에게 중요하지 않아. 누구랑 자든 상관없어 데이빗이 걱정된다.","네, 선생님."
"네, 선생님.",보름달이다. 그는 어디에 있니?
보름달이다. 그는 어디에 있니?,내 아파트에. 난 자정에 퇴근하고...
그렇지 않아?,"알렉스, 데이빗이 늑대인간 환상을 고수했니?"
